Member Name,Username,No. Of Portfolios,ID Verification,Portfolio Verification,Location,Size (KB),Subscription
James Wells,nealkari,2,Verified,Not verified,"Rochaborough, North Carolina, New Caledonia",6957.68,Premium
James Mccullough,oparker,2,Verified,Not verified,"Johnsonshire, Oklahoma, Jersey",8106.48,Advanced
Jeremiah Rodriguez,stephanie68,5,Not verified,Not verified,"North Sylvia, Nevada, Brunei Darussalam",9944.91,Standard
Richard Morton,mholloway,3,Verified,Verified,"Port Lorishire, Utah, Ukraine",6878.6,Standard
Roger Johnson,dunnsara,2,Not verified,Not verified,"Lake Matthew, Oklahoma, Tokelau",233.93,Premium
Brian Osborne,angelajoseph,1,Not verified,Verified,"Tamaratown, Arkansas, Madagascar",3958.71,Advanced
Michael Ortega,mayslisa,0,Not verified,Not verified,"Port Kathleenbury, Wisconsin, Dominican Republic",606.87,Standard
Angela Gray,david19,4,Not verified,Not verified,"New Ernestfurt, Texas, Brazil",6887.57,Standard
Christopher Taylor,kparks,5,Verified,Not verified,"Port Michael, Illinois, Benin",3422.04,Basic
Reginald Rich,mark19,5,Not verified,Not verified,"Martinezfurt, Connecticut, Montenegro",8334.08,Advanced
Christopher Johnson,kevin60,2,Not verified,Verified,"Larsonview, Missouri, Suriname",8822.68,Standard
Adam Ross,kimberlyknapp,3,Not verified,Verified,"Martinezburgh, Idaho, Bangladesh",7063.55,Standard
Melinda Tate,lmartinez,2,Verified,Not verified,"Riggschester, Ohio, Cape Verde",8336.73,Advanced
Lori Hickman,carrie93,3,Not verified,Verified,"Russellborough, Maine, Nauru",4820.36,Premium
Rachel Sanders,vrollins,5,Not verified,Not verified,"Shannonmouth, Nevada, Guyana",1220.38,Standard
Jennifer Lyons,johnsonmegan,4,Verified,Not verified,"Jacksonbury, Tennessee, Cote d'Ivoire",6642.69,Premium
Mary Erickson,osteele,3,Not verified,Not verified,"New Charlesport, Vermont, Ireland",149.8,Premium
Darlene Hill,justinholt,3,Not verified,Verified,"West Williamberg, New Jersey, Angola",4175.02,Advanced
Jacqueline White,oconnortaylor,0,Verified,Not verified,"Stephensonberg, Nebraska, British Indian Ocean Territory (Chagos Archipelago)",6560.13,Standard
Frank Henry,ipeters,1,Verified,Verified,"New Mackenziemouth, New York, Pitcairn Islands",6512.52,Standard
Eric Rodriguez,catherine78,2,Not verified,Verified,"South Patriciafurt, Nebraska, Greenland",8692.44,Basic
Amanda Rush,shawnyang,5,Verified,Not verified,"Melissaport, Mississippi, Indonesia",8663.75,Advanced
Mary Montgomery,jeffrey48,0,Verified,Verified,"Daisyville, Nevada, Dominica",6302.92,Advanced
Steven Hill DVM,charlesbauer,3,Not verified,Not verified,"Vancehaven, Hawaii, Turkey",7078.22,Premium
Christopher Cohen,joanne31,3,Not verified,Not verified,"Port Jason, Oregon, Gibraltar",841.12,Basic
Adam Porter,millerjulia,5,Verified,Verified,"Georgeshire, Nevada, Belarus",4271.07,Advanced
Ashley Young,hopkinsjeffrey,0,Verified,Verified,"Elizabethfurt, Montana, Iraq",6716.4,Standard
Christina Byrd,wpatterson,0,Not verified,Not verified,"New Tyler, Colorado, Hong Kong",8894.3,Basic
Gavin Fernandez,johnpadilla,1,Verified,Not verified,"South Monicafort, Tennessee, Bahamas",2628.79,Premium
Jeffrey Roberts Jr.,curtis04,5,Verified,Verified,"Port Mark, North Carolina, Belize",2764.48,Basic
Elizabeth Mcfarland,zaustin,4,Not verified,Verified,"West Danieltown, Texas, Palestinian Territory",1975.77,Premium
Rebecca Meyer,mason29,5,Not verified,Verified,"Lake Janettown, Alabama, Albania",3488.31,Advanced
Rose Warren,william75,2,Not verified,Verified,"Sophiaport, Missouri, Rwanda",5100.43,Basic
Wendy Henry,morrisonjulie,0,Verified,Not verified,"New Kaitlynton, Pennsylvania, Czech Republic",5343.95,Basic
Donald Cohen,cwilson,2,Verified,Not verified,"North Heidiport, Rhode Island, Gabon",3153.14,Basic
Eric Phillips,melissabeck,2,Verified,Not verified,"Ramirezshire, Iowa, El Salvador",831.84,Standard
Anita Andrews,carolynunderwood,5,Verified,Not verified,"Evanston, Tennessee, Serbia",2027.83,Advanced
Stephanie Rogers,oturner,4,Not verified,Not verified,"Blackfort, Tennessee, Jamaica",2583.43,Premium
Rodney Burnett,hensleybrittany,4,Verified,Verified,"Lake Mark, West Virginia, Bahamas",4330.83,Basic
Steven Vazquez,ralph12,1,Not verified,Not verified,"Christophermouth, Nebraska, Cocos (Keeling) Islands",2943.18,Premium
Becky Ward,ricky18,1,Verified,Verified,"West Tim, New York, Norfolk Island",3107.73,Premium
Tyler Campbell,wendy07,3,Not verified,Verified,"South Justinmouth, Maine, Cuba",6247.8,Premium
Claire Silva,kimberlyperez,4,Not verified,Not verified,"Lake Michael, Wisconsin, Cyprus",5634.99,Premium
Robert Boyd,chudson,0,Not verified,Not verified,"New Jacquelinefurt, Maryland, Central African Republic",3838.86,Premium
Dr. Javier Mclaughlin,michelle11,3,Not verified,Not verified,"Tylerport, West Virginia, Norway",1134.15,Premium
Jermaine English,sarah96,4,Verified,Verified,"East Nicoleborough, New Jersey, Swaziland",8530.75,Advanced
Douglas Little,ramseyteresa,2,Not verified,Not verified,"East Savannah, Arkansas, Tajikistan",5860.26,Standard
Michael Adams,tatejonathan,3,Verified,Verified,"Duncantown, North Carolina, United States Minor Outlying Islands",3603.23,Standard
Thomas Horton,fred84,3,Not verified,Verified,"West Carolynbury, New Hampshire, Afghanistan",6152.1,Basic
Trevor Ortiz,moonthomas,1,Verified,Not verified,"Douglasport, Georgia, Madagascar",5352.91,Basic
Nicole Gonzalez,ymiller,2,Not verified,Verified,"North Christina, Iowa, Moldova",5018.27,Premium
Jason Dawson,millersharon,0,Not verified,Not verified,"Port Megan, Iowa, Costa Rica",8680.55,Standard
Maria Palmer,aporter,5,Not verified,Not verified,"Ashleymouth, New Mexico, Sierra Leone",2662.08,Standard
Kenneth Mcdonald,lbailey,5,Verified,Verified,"Jasonport, Rhode Island, Germany",6505.3,Basic
Carla Johnson,owensbrooke,4,Verified,Verified,"South Richardport, Massachusetts, Belize",5822.86,Premium
Kimberly Martinez,moyerrichard,0,Verified,Verified,"Castanedamouth, Oregon, Niue",421.11,Basic
Sarah Mckinney,xwillis,3,Verified,Verified,"Brianfort, New Hampshire, Syrian Arab Republic",848.23,Advanced
Desiree Cummings,andreajones,4,Not verified,Not verified,"Sampsonside, Hawaii, Paraguay",2966.59,Advanced
Kevin Chan,alexanderamy,1,Verified,Verified,"Ramirezview, California, Samoa",5417.74,Standard
Mark Powell,ualexander,2,Verified,Not verified,"Port Thomasmouth, Arkansas, Austria",4889.99,Premium
Hayley Hopkins,larajoshua,4,Not verified,Verified,"East Stacy, Arkansas, Yemen",5372.08,Basic
Heather Zhang,martinjohnson,3,Verified,Verified,"Jamieshire, Nevada, Holy See (Vatican City State)",9737.97,Premium
Christopher Webb,mark09,1,Not verified,Verified,"South Andrew, Kentucky, Switzerland",1912.59,Advanced
Dr. Cynthia Huber,stevennovak,1,Verified,Not verified,"Nataliehaven, Wyoming, Costa Rica",5585.49,Advanced
Mrs. Carol Moreno,jasonstevenson,1,Not verified,Not verified,"Armstrongchester, New York, Thailand",8404.39,Advanced
Jonathan Duffy MD,taylorgary,1,Not verified,Verified,"Lake Emily, Rhode Island, Tokelau",2494.37,Standard
Mckenzie Tran MD,hawkinsallison,5,Verified,Not verified,"Barbarabury, Kansas, Saint Martin",8975.95,Advanced
Matthew Rice,tlowe,3,Verified,Not verified,"Port Jacqueline, Oklahoma, Algeria",2035.72,Basic
James Decker,franktyler,0,Verified,Not verified,"Jerryfurt, Oregon, Gabon",747.33,Advanced
Robert Miller,dkim,1,Verified,Verified,"Martinezstad, Utah, Cook Islands",7132.45,Advanced
Christopher Hunt,debrabean,5,Verified,Verified,"Adkinsport, Minnesota, Costa Rica",7545.26,Basic
Kevin Smith,ashleylawson,0,Verified,Not verified,"New Jacqueline, North Carolina, French Guiana",8679.41,Advanced
Nicholas Rodgers,holdenjessica,3,Verified,Verified,"South Jamesland, Hawaii, Lao People's Democratic Republic",5422.68,Basic
Rebecca Hart,christina27,1,Not verified,Verified,"Kennethville, Vermont, Finland",4776.29,Advanced
Teresa Gordon,melissa96,0,Not verified,Not verified,"Jarvisburgh, Indiana, Cameroon",3672.99,Standard
Michael Rodriguez,wmeyer,0,Verified,Verified,"New Brucemouth, West Virginia, South Africa",1900.53,Advanced
Emily Gilmore,allenmelissa,1,Verified,Not verified,"Murrayfurt, Colorado, Barbados",8907.2,Standard
Michael Porter,youngdustin,2,Not verified,Verified,"Lake Breanna, Massachusetts, Azerbaijan",3583.82,Premium
Shelly Le,dwayne92,3,Verified,Not verified,"Michellefort, Alaska, Dominican Republic",9896.3,Basic
Jennifer Johnson,barrettjonathan,3,Verified,Verified,"Hamiltonton, Louisiana, United States Minor Outlying Islands",9189.97,Premium
Michelle Hoover,lopezbenjamin,4,Not verified,Not verified,"Port Anthony, Vermont, North Macedonia",1937.68,Standard
Christopher White,misty13,1,Not verified,Verified,"Wesleytown, New Hampshire, Kyrgyz Republic",841.29,Advanced
Steven Mcclain,maryhorton,5,Not verified,Not verified,"Prattfort, Montana, Korea",8537.25,Standard
Jeffrey Evans,stewartsandra,2,Not verified,Verified,"Lake Chrisview, Nevada, Cuba",7429.31,Basic
Aaron Campbell,mccarthymary,4,Not verified,Not verified,"East Laura, Michigan, Saint Barthelemy",7087.38,Advanced
Stephanie Olsen,frankisaiah,5,Verified,Verified,"North Virginia, Maryland, Argentina",3787.16,Premium
Heather Smith,cmitchell,5,Not verified,Verified,"Clayland, Minnesota, Jordan",8872.32,Premium
Timothy Alexander,brittanyvega,5,Not verified,Verified,"Brianport, Iowa, Liberia",6096.64,Basic
Jennifer Hayes,ysandoval,2,Not verified,Not verified,"Harringtonview, Vermont, Marshall Islands",3887.56,Advanced
Deborah Johnson,jeffrey46,0,Not verified,Not verified,"Martinezburgh, Nevada, Syrian Arab Republic",1932.68,Advanced
David Nguyen,marissa79,2,Not verified,Verified,"North Joshuastad, Arizona, United States Minor Outlying Islands",6198.58,Advanced
Tammy Velez,adam14,4,Not verified,Verified,"Danaburgh, Georgia, Belize",5137.81,Standard
Emily Ray,youngrenee,3,Verified,Not verified,"Lake Taylorshire, Vermont, Uruguay",1463.9,Advanced
Veronica Johnston,kbryan,5,Not verified,Not verified,"Justinview, Oklahoma, Morocco",7837.46,Advanced
Ashley Nichols,foleymelissa,2,Verified,Verified,"Piercefort, Oklahoma, Austria",7767.19,Premium
Bryan Carter,ginanunez,1,Verified,Verified,"West Jeffreyport, Pennsylvania, Saint Barthelemy",2478.48,Basic
Sarah Henderson,stephaniegarrett,2,Verified,Verified,"Perrychester, Alabama, Hong Kong",2949.56,Premium
Jessica Jones,psmith,3,Not verified,Verified,"New Erin, Kansas, Cape Verde",7717.5,Premium
Sean Rivera,bradleycaitlin,3,Not verified,Verified,"Millerburgh, Nebraska, Pitcairn Islands",2020.21,Basic
William James,blevinsluis,2,Verified,Not verified,"Nicolefurt, Mississippi, Portugal",2703.36,Standard
Melissa Taylor,jimenezabigail,3,Verified,Verified,"East Stephen, Illinois, Brunei Darussalam",9195.73,Premium
Kathleen Davis,ijohnston,0,Verified,Verified,"East Stephen, Rhode Island, Italy",2014.55,Premium
Alexandria Walters,alexandradavis,4,Not verified,Verified,"Port Allen, North Dakota, Ecuador",9164.8,Standard
Taylor Morales,colinjones,3,Not verified,Verified,"Carpenterland, Maine, Tokelau",135.76,Standard
Shelly Garcia,andrewray,3,Verified,Verified,"Lake Matthewmouth, Rhode Island, Reunion",6853.74,Advanced
Lee Le,swilliams,4,Verified,Not verified,"Lake Kimberlytown, New Hampshire, Moldova",8850.97,Basic
Jamie Nichols,ureyes,1,Verified,Verified,"New James, New Mexico, Korea",5965.68,Basic
Daniel Wright,ogallagher,0,Verified,Not verified,"East Joseph, New Hampshire, Rwanda",8460.54,Premium
Cindy Hodges,jimmyyang,0,Verified,Verified,"North Stephanie, Vermont, Nigeria",4969.45,Premium
Ashley Tate,wturner,0,Not verified,Verified,"Turnershire, New Jersey, Oman",1601.8,Basic
Shannon Frey,danny14,2,Verified,Verified,"Stephenston, Georgia, Belize",1616.81,Basic
Mr. Larry Sharp DDS,xbaldwin,2,Not verified,Verified,"Austinborough, Kansas, Gabon",9207.47,Premium
Robert Moss,donaldgonzalez,5,Verified,Verified,"Melanieland, Washington, Samoa",6187.73,Standard
Luis Joyce,pittmanjeffery,0,Not verified,Verified,"New Diane, Nevada, Belgium",6789.5,Basic
Richard Wilson,fharvey,1,Not verified,Verified,"Henryport, Utah, Netherlands",2630.38,Basic
William Martinez,josephlori,5,Not verified,Verified,"Jamesshire, Illinois, Central African Republic",770.81,Basic
Patrick Dalton,paynebrooke,0,Not verified,Not verified,"Port Michaelstad, Minnesota, Kenya",8641.88,Standard
Denise Freeman,bradychristina,4,Not verified,Verified,"Port Andrea, Hawaii, Gibraltar",8036.7,Advanced
Daniel Scott,brodriguez,1,Verified,Not verified,"Susanside, Virginia, Timor-Leste",1467.61,Premium
Beth Miller,vstanley,4,Not verified,Not verified,"Lake Jenniferview, Alabama, Estonia",279.04,Premium
Christopher Miller,ryan82,4,Verified,Verified,"Port Michael, Hawaii, Philippines",3757.44,Basic
Jason Mckinney,micheal65,2,Verified,Not verified,"South Danielle, West Virginia, Kenya",1327.37,Basic
Elizabeth Mcguire,jessicagarner,4,Not verified,Verified,"East Helenchester, Alabama, Iceland",3471.13,Advanced
Tina Anderson,alexis56,3,Not verified,Verified,"Johnsonmouth, North Dakota, Saint Kitts and Nevis",7284.72,Standard
Hannah Vargas,roger48,1,Verified,Verified,"East Javier, Kansas, Morocco",3941.89,Premium
Karen Harris,scott20,5,Verified,Not verified,"South Nicholas, Texas, Grenada",8696.17,Basic
Victoria Campos,zgill,2,Verified,Verified,"Joshuafurt, Arkansas, Madagascar",8293.8,Basic
Laura Chung,danielbright,4,Verified,Not verified,"Delgadomouth, Colorado, Ghana",1811.58,Basic
Benjamin Lowe,johnhorton,1,Verified,Verified,"Port Carolynton, New York, Guernsey",2464.8,Premium
Amy Cole,ilee,4,Verified,Verified,"Dakotamouth, Hawaii, Cocos (Keeling) Islands",4992.89,Advanced
Caitlin Lutz,jacquelinewright,5,Verified,Not verified,"South Timothyport, North Dakota, Greenland",6387.8,Basic
Andrew Wilson,heather26,5,Verified,Not verified,"Port Andrew, Maine, Mozambique",4451.88,Standard
Denise Hahn,ericawalker,0,Not verified,Not verified,"Youngberg, Texas, Guyana",2551.16,Advanced
Debra Barnett,chill,5,Verified,Not verified,"Rodriguezchester, Missouri, Slovakia (Slovak Republic)",4956.06,Advanced
William Matthews,hullrachel,3,Verified,Not verified,"Valdezberg, Oregon, Cayman Islands",3670.46,Premium
Margaret Garcia,charles54,2,Verified,Not verified,"Browntown, Ohio, Tajikistan",6712.31,Standard
Eric Shelton,bmartinez,1,Verified,Not verified,"North Lindseyburgh, Wyoming, Greenland",9198.82,Premium
Brooke Gilbert,matthewwiley,4,Verified,Verified,"Sheppardland, New Mexico, Congo",2966.54,Advanced
Anthony Hall,nealjennifer,0,Not verified,Not verified,"West Erin, Iowa, Panama",513.9,Standard
Evelyn Daniel,dmcbride,1,Not verified,Not verified,"North Ashlee, New York, Gabon",2701,Advanced
Vanessa Mcgrath,larry38,0,Verified,Not verified,"South Joyce, Michigan, Algeria",1245.5,Premium
Hannah Cole,christopherspencer,0,Verified,Not verified,"West Samantha, West Virginia, Korea",9689.34,Standard
Tammy Hale,aortiz,4,Not verified,Verified,"Reneehaven, Arizona, Netherlands Antilles",586.41,Advanced
Christopher Morris,boydamy,3,Verified,Verified,"West Martin, Missouri, American Samoa",9223.57,Basic
David James,hendersonstephanie,4,Verified,Verified,"New Kaitlyn, Wyoming, Somalia",5054.73,Premium
Micheal Mann,cooperstephanie,5,Verified,Not verified,"Lake Rachel, Wisconsin, Panama",2676.2,Advanced
David Gray,williamsonmichael,4,Not verified,Not verified,"Wardside, Indiana, Benin",4993.82,Standard
Katherine Morgan,rhondamacdonald,0,Verified,Not verified,"Clarkfurt, Alabama, Morocco",9702.39,Premium
Wendy Wang,zthomas,3,Verified,Not verified,"Walkerport, Arkansas, Eritrea",7492.75,Advanced
Lindsey Lopez,ukaufman,5,Verified,Verified,"West Johnburgh, Alabama, Nauru",5741.58,Standard
Sydney Harrison,heatherfuentes,5,Not verified,Verified,"Morganton, Arizona, Jersey",3657.38,Premium
Jonathan Grant,melissa43,4,Not verified,Verified,"Christopherville, Ohio, Mexico",2883.45,Premium
Michael Nolan,bradleygerald,4,Not verified,Verified,"New Tara, Alaska, Panama",7284.36,Advanced
Troy Hernandez,xvargas,2,Verified,Verified,"North Kristinaland, Nebraska, United States Minor Outlying Islands",2793.96,Standard
Isabella Garrison,dbennett,3,Not verified,Verified,"Jamesberg, Washington, North Macedonia",2693.37,Standard
Nancy Ferguson,leestephanie,5,Not verified,Verified,"Heathershire, Alabama, Saint Vincent and the Grenadines",7338.72,Basic
Mr. Bryan Norris,smithkenneth,3,Verified,Not verified,"Gracemouth, Delaware, Belarus",8574.14,Basic
Bianca Navarro,jakewilliams,0,Verified,Verified,"Lake Katherinechester, New York, Iraq",6855.81,Advanced
Aaron Olson,kingbernard,3,Verified,Verified,"Saundersberg, Ohio, Germany",4356.43,Basic
John Johnson,brandon12,5,Verified,Not verified,"Sparksfort, Arkansas, Suriname",103.93,Standard
Steven Butler,ybrown,4,Verified,Not verified,"East Mark, Indiana, Gambia",8722.02,Advanced
George Coleman,kristine29,0,Not verified,Verified,"Port Alicia, Pennsylvania, Cape Verde",4709.86,Advanced
Kevin Garcia,marissahaley,0,Not verified,Not verified,"Wilsonburgh, North Carolina, Malta",9312.86,Basic
Paula Peterson,kelly78,4,Not verified,Verified,"Port James, Louisiana, Turkmenistan",2133.8,Premium
Sarah Yoder,cfletcher,3,Not verified,Verified,"Robertsport, Tennessee, Romania",7340.13,Advanced
Benjamin Jones,graymonica,5,Verified,Verified,"Vargastown, Michigan, Malta",9377.44,Advanced
Brandon Ortega,victoria50,4,Verified,Not verified,"Port Jefferyfort, Pennsylvania, Greece",2473.93,Advanced
Taylor Blanchard,ruizjordan,4,Not verified,Verified,"Samanthafort, New Hampshire, South Africa",2028.49,Premium
Stacey Roberts,keithgriffith,2,Not verified,Verified,"Joshuahaven, Michigan, Myanmar",9021.95,Premium
Andrea Hunt,jmcclure,5,Not verified,Verified,"Port William, California, Belarus",6128.59,Advanced
Michael Martin PhD,ayersdiana,3,Not verified,Not verified,"Lake Jerome, Pennsylvania, Isle of Man",2207.38,Premium
Ashley Norman,ipadilla,2,Verified,Verified,"Montgomerymouth, North Carolina, Nauru",8980.79,Advanced
Corey Wright,cstewart,1,Verified,Verified,"Richardstad, Hawaii, Saint Lucia",3367.27,Standard
Richard Gardner,zachary83,2,Verified,Not verified,"Carolynburgh, Iowa, Costa Rica",2951.69,Premium
Meredith Murphy,alvarezkristina,0,Verified,Not verified,"Martintown, Georgia, Faroe Islands",8930.92,Advanced
Douglas Aguilar,suzanneknight,5,Verified,Verified,"North Georgetown, Missouri, Solomon Islands",3417.39,Premium
Mark Thompson,susanhensley,2,Not verified,Not verified,"North Jaredville, West Virginia, Nepal",6161.94,Basic
Sharon Hansen,shannonhardy,2,Verified,Not verified,"New Natasha, Colorado, Lesotho",6821.48,Standard
David Deleon,jasonpeters,5,Not verified,Verified,"Cindychester, Maryland, Belgium",8896.78,Advanced
Leslie Coleman,zsimmons,1,Verified,Verified,"Lake Joseph, Georgia, Kenya",2413.95,Premium
Christine Blake,ogarner,0,Verified,Verified,"Adriennefort, Alaska, Palestinian Territory",6158.75,Basic
Kimberly Rice,ann70,4,Not verified,Not verified,"South Paul, Louisiana, Saint Helena",6429.31,Advanced
Christina Oliver,tosborne,5,Not verified,Not verified,"North David, Kentucky, Belize",6199.79,Standard
Gregory Ritter,ajohnson,2,Not verified,Verified,"South Richard, Alabama, Anguilla",6628.51,Basic
Jordan Smith,lorettabenson,5,Not verified,Verified,"Owenside, Maine, Mayotte",5628.8,Standard
Duane Garcia,cynthiawilson,3,Not verified,Verified,"South Kristinhaven, Ohio, Congo",5073.86,Standard
Jo Owens,riverabrooke,1,Verified,Verified,"South Lauraview, Pennsylvania, Burundi",7546.63,Premium
Caitlin Serrano,rhanna,4,Verified,Verified,"Christinemouth, Nebraska, Guadeloupe",998.06,Basic
William Hendrix,christian48,5,Verified,Not verified,"New Susantown, Iowa, Montserrat",1818.74,Advanced
Stanley Schwartz,floreslisa,4,Verified,Verified,"Arnoldborough, New Mexico, Lao People's Democratic Republic",5738.02,Standard
Jennifer Gutierrez,allisonkristen,4,Not verified,Not verified,"Masonfort, Rhode Island, Greenland",5445.59,Advanced
Jorge Miller,astanley,2,Verified,Verified,"East Dorisfurt, Wyoming, Northern Mariana Islands",2455.33,Standard
April Perkins,hendersonmiguel,2,Not verified,Verified,"New Gregoryville, Delaware, Spain",6212.84,Premium
Jennifer Rodriguez,kennethdavis,4,Not verified,Verified,"Pamelaburgh, Texas, Samoa",7667.99,Basic
William Peterson MD,curtiscastillo,2,Not verified,Verified,"Wilsontown, Oklahoma, Antarctica (the territory South of 60 deg S)",5851.06,Premium
Zachary Jones,oliviamack,3,Not verified,Not verified,"Micheletown, Ohio, Tunisia",9548.82,Basic
Andrea Booth,melissabolton,5,Not verified,Verified,"Rachelville, North Dakota, Ecuador",9511.65,Standard
Shawn Clark,whitney82,0,Not verified,Not verified,"Theresafurt, Indiana, Mongolia",6508.51,Standard
Jesse Carpenter,stevenwilliams,4,Verified,Verified,"South Justin, Oklahoma, Pitcairn Islands",2779.32,Standard
Sabrina Simon,thomas94,0,Verified,Verified,"North Stephanie, Michigan, Maldives",2489.29,Basic
Scott Aguirre,zsteele,3,Verified,Verified,"Smithside, Minnesota, France",315.98,Advanced
Sean Coleman,vjohnson,5,Verified,Not verified,"Josephville, Utah, Solomon Islands",9456.33,Standard
Rose Mitchell,karen02,0,Not verified,Not verified,"Williamshaven, Wyoming, Lithuania",2407.59,Basic
Gina Gonzalez,acobb,3,Not verified,Verified,"Lake David, Iowa, Korea",373.01,Basic
Logan Lopez,xdouglas,0,Not verified,Not verified,"Geoffreymouth, New Hampshire, Palestinian Territory",2764.28,Advanced
Thomas Harris,andreapeterson,5,Verified,Verified,"West Ryanville, New Mexico, Lesotho",8465.4,Premium
Nicholas Vargas,cody82,5,Verified,Verified,"Danielleside, Alabama, Cuba",2576.63,Advanced
Matthew Guerra,theresaperez,0,Not verified,Verified,"Marcushaven, South Carolina, Rwanda",2032.45,Basic
Adrian Harris,scottterri,4,Verified,Not verified,"Ronaldmouth, New Hampshire, Puerto Rico",5578.77,Premium
Carlos Trujillo,sarahdavidson,0,Verified,Verified,"Johnfort, Florida, Gambia",2443.79,Standard
Dr. Andre Terry,antoniosmith,3,Verified,Not verified,"South Carla, West Virginia, Lao People's Democratic Republic",9408.16,Advanced
Diane Brown,kimberlymurray,3,Verified,Not verified,"Hernandezside, Georgia, Algeria",1856.95,Advanced
Mark Edwards,tylerlee,4,Verified,Not verified,"North Monicahaven, Mississippi, China",2652.35,Premium
Tara Hayes,molinabethany,5,Verified,Not verified,"New Stephaniehaven, Connecticut, Lesotho",1736.53,Premium
Hannah Riddle,asnyder,0,Verified,Not verified,"Hallshire, Idaho, Jamaica",1468.16,Standard
Kyle Browning,andersonkenneth,1,Not verified,Not verified,"East Travisview, Ohio, Togo",6783.27,Basic
Samuel Wilson,tbowen,3,Not verified,Verified,"Port Karenfort, New York, Azerbaijan",9609.75,Basic
Brittany Waters,gonzalesbrandon,5,Verified,Verified,"Jonathanview, Florida, Equatorial Guinea",2480.27,Premium
Joshua Watkins,turnerdonna,5,Verified,Not verified,"East Wendy, Ohio, Honduras",189.56,Basic
Angie Wilson,angelablankenship,5,Verified,Verified,"East Kevin, Illinois, Uzbekistan",5558.13,Premium
Edward Carter,sheilamoreno,4,Not verified,Verified,"Williammouth, South Carolina, Iran",3773.92,Premium
Christopher Evans,john63,4,Verified,Verified,"East Jacquelinebury, Montana, Micronesia",1245.16,Premium
James Martin,parksrobert,4,Not verified,Verified,"Cervantesland, Iowa, Cook Islands",2455,Standard
Michael Martinez,rachelmarshall,0,Not verified,Verified,"Kaylaton, Oklahoma, Pakistan",5107.17,Premium
Dana Carpenter,hwood,1,Not verified,Not verified,"Markstad, North Dakota, Guinea-Bissau",6684.06,Advanced
Kevin Murray,eric59,5,Not verified,Not verified,"Johnsonside, Texas, Switzerland",6759.66,Premium
Dale Johnson,jason35,5,Not verified,Not verified,"Austinside, Wyoming, Libyan Arab Jamahiriya",4831.62,Advanced
Suzanne Lang,christophermorgan,2,Verified,Not verified,"Port Ruthburgh, Arkansas, Nigeria",5070.8,Standard
Lindsey Huff,samantha28,4,Not verified,Not verified,"Port David, California, Reunion",6216.63,Basic
James Smith,jwilliams,0,Not verified,Not verified,"Port David, North Carolina, Saint Pierre and Miquelon",5856.98,Advanced
David Snyder,ljohnson,5,Verified,Not verified,"Karenfort, Michigan, Denmark",4525.62,Premium
Gregory Rose,omartinez,4,Verified,Not verified,"Port Mitchellfort, Michigan, Haiti",5111.41,Basic
Michael Stewart DVM,margaretdavis,2,Verified,Verified,"Chentown, Tennessee, Tokelau",7279.43,Advanced
Laura Cole,nealshelly,2,Verified,Not verified,"Darlenemouth, New Hampshire, Martinique",2355.5,Advanced
Michelle Davis,mark62,3,Verified,Not verified,"New Jonathanburgh, Vermont, Belize",6676.56,Basic
Gabriel Lopez,fbarber,0,Not verified,Not verified,"Port John, Indiana, Tuvalu",5484.68,Advanced
Morgan Hall,upotter,1,Verified,Verified,"East Sandra, South Carolina, Ecuador",9435.15,Standard
Michael Allen,njackson,0,Not verified,Not verified,"Julieshire, Alabama, Mongolia",9780.31,Standard
Gary Vaughn,carterjonathan,3,Verified,Verified,"East Michaelville, New York, Northern Mariana Islands",8056.38,Advanced
Crystal Sherman,melissa07,2,Verified,Not verified,"New Janice, Florida, Uzbekistan",384.35,Standard
Howard Ford,garrett61,5,Verified,Verified,"West Jenniferhaven, New Hampshire, Hungary",1670.78,Premium
Matthew Hanson,martinhelen,2,Verified,Verified,"West Christine, Montana, Fiji",5190.72,Standard
Karen Welch,jenniferwatkins,0,Not verified,Not verified,"Lake Paula, Wisconsin, Belarus",6909.65,Basic
Amy Garcia,mark63,0,Not verified,Not verified,"East Michaela, South Carolina, Guinea",9923.87,Basic
Molly Holmes,jennifer12,2,Not verified,Not verified,"Gonzalezport, Texas, Sao Tome and Principe",7335.66,Premium
Carol Jefferson,mroberson,5,Verified,Verified,"Henryview, Maryland, Togo",4107.81,Advanced
Brian Benson,kimberly97,0,Not verified,Verified,"Suzanneburgh, Hawaii, Cuba",9497.42,Premium
Victoria Bishop,norrisrobert,3,Verified,Not verified,"Chanville, Maryland, Burkina Faso",1845.91,Standard
Mr. Joshua Coleman II,shaun06,4,Not verified,Verified,"South Jenniferchester, Idaho, Gambia",2379.38,Premium
Jane Travis,robert89,1,Not verified,Not verified,"Combstown, Pennsylvania, Austria",9464.13,Standard
Michelle Case,bailey42,1,Not verified,Verified,"South Melissa, Indiana, Lithuania",7936.51,Basic
Frances Gray,richard25,2,Not verified,Not verified,"Brianville, Iowa, Mozambique",9010.52,Standard
Scott Ramirez,howardlee,5,Not verified,Not verified,"Millsberg, New Mexico, Algeria",6962.66,Advanced
Harry Reynolds,victorialambert,0,Not verified,Not verified,"Nguyenfurt, Maine, Falkland Islands (Malvinas)",7532.74,Basic
Beth Cunningham,charles44,1,Verified,Not verified,"New Richard, Kansas, Bermuda",8958.39,Premium
Denise Richmond,gordonmarco,1,Not verified,Not verified,"North Kellyfurt, Missouri, Benin",5158.11,Standard
